IdEstablecimiento,Ano,Mes,Numerador,Denominador,MetaSanitaria,Dependencia Administrativa,Nivel de Atención
109104,2024.0,10.0,,1.0,MSI,Servicio de Salud,Primario
109104,2025.0,2.0,0.0,,MSI,Servicio de Salud,Primario
109104,2025.0,3.0,0.0,,MSI,Servicio de Salud,Primario
109104,2025.0,4.0,0.0,2.0,MSI,Servicio de Salud,Primario
109104,2025.0,5.0,2.0,0.0,MSI,Servicio de Salud,Primario
109104,2025.0,6.0,4.0,2.0,MSI,Servicio de Salud,Primario
109104,2025.0,7.0,4.0,6.0,MSI,Servicio de Salud,Primario
109104,2025.0,8.0,,0.0,MSI,Servicio de Salud,Primario
109104,2025.0,9.0,2.0,2.0,MSI,Servicio de Salud,Primario
109104,2025.0,10.0,1.0,,MSI,Servicio de Salud,Primario
109300,2024.0,10.0,,2.0,MSI,Municipal,Primario
109300,2024.0,12.0,,1.0,MSI,Municipal,Primario
109300,2025.0,1.0,2.0,0.0,MSI,Municipal,Primario
109300,2025.0,2.0,1.0,,MSI,Municipal,Primario
109300,2025.0,3.0,5.0,0.0,MSI,Municipal,Primario
109300,2025.0,4.0,0.0,0.0,MSI,Municipal,Primario
109300,2025.0,5.0,0.0,2.0,MSI,Municipal,Primario
109300,2025.0,6.0,,0.0,MSI,Municipal,Primario
109300,2025.0,7.0,2.0,2.0,MSI,Municipal,Primario
109300,2025.0,8.0,0.0,2.0,MSI,Municipal,Primario
109300,2025.0,9.0,,4.0,MSI,Municipal,Primario
109300,2025.0,10.0,0.0,,MSI,Municipal,Primario
109301,2024.0,10.0,,5.0,MSI,Municipal,Primario
109301,2024.0,11.0,,7.0,MSI,Municipal,Primario
109301,2024.0,12.0,,4.0,MSI,Municipal,Primario
109301,2025.0,1.0,10.0,12.0,MSI,Municipal,Primario
109301,2025.0,2.0,16.0,6.0,MSI,Municipal,Primario
109301,2025.0,3.0,14.0,12.0,MSI,Municipal,Primario
109301,2025.0,4.0,8.0,12.0,MSI,Municipal,Primario
109301,2025.0,5.0,8.0,4.0,MSI,Municipal,Primario
109301,2025.0,6.0,10.0,10.0,MSI,Municipal,Primario
109301,2025.0,7.0,10.0,14.0,MSI,Municipal,Primario
109301,2025.0,8.0,4.0,4.0,MSI,Municipal,Primario
109301,2025.0,9.0,6.0,12.0,MSI,Municipal,Primario
